Title,Author,Average Goodreads Rating,Number of Pages
"Big in China: My Unlikely Adventures Raising a Family, Playing the Blues, and Becoming a Star in Beijing",Alan Paul,3.69,272
"Kosher Chinese: Living, Teaching, and Eating with China's Other Billion",Michael     Levy,3.85,256
Sideways on a Scooter: Life and Love in India,Miranda Kennedy,3.64,352
The Foremost Good Fortune,Susan    Conley,3.65,288
You've Gone Too Far This Time,Danny Bent,3.74,240
The Memory Palace,Mira Bartok,3.51,320
Tolstoy and the Purple Chair: My Year of Magical Reading,Nina Sankovitch,3.52,241
My Lucky Life in and Out of Show Business,Dick Van Dyke,3.82,287
Stories I Only Tell My Friends,Rob Lowe,3.82,320
A Stolen Life,Jaycee Dugard,3.91,273
The Man in the Rockefeller Suit: The Astonishing Rise and Spectacular Fall of a Serial Impostor,Mark Seal,3.84,323
1861: The Civil War Awakening,Adam Goodheart,4.05,481
Malcolm X: A Life of Reinvention,Manning Marable,4.15,608
Area 51: An Uncensored History of America's Top Secret Military Base,Annie Jacobsen,3.80,540
"The Eighty-Dollar Champion: Snowman, the Horse That Inspired a Nation",Elizabeth Letts,4.21,329
Steve Jobs,Walter Isaacson,4.15,630
Incognito: The Secret Lives of the Brain,David Eagleman,4.07,290
The Filter Bubble: What the Internet is Hiding From You,Eli Pariser,3.79,294
Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,Kevin Poulsen,3.96,288
Inside Scientology: The Story of America's Most Secretive Religion,Janet Reitman,3.87,444
Sex on the Moon: The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,3.39,320
Boomerang: Travels in the New Third World,Michael   Lewis,3.90,213
"Three Cups of Deceit: How Greg Mortenson, Humanitarian Hero, Lost His Way",Jon Krakauer,3.74,77
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,3.88,307
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.94,288
"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Dan Savage,4.13,338
Cinderella Ate My Daughter: Dispatches from the Frontlines of the New Girlie-Girl Culture,Peggy Orenstein,3.67,245
"The Geeks Shall Inherit the Earth: Popularity, Quirk Theory and Why Outsiders Thrive After High School",Alexandra Robbins,3.60,448
"It's All Relative: Two Families, Three Dogs, 34 Holidays, and 50 Boxes of Wine (A Memoir)",Wade Rouse,3.81,304
2030: The Real Story of What Happens to America,Albert Brooks,3.48,375
Domestic Violets,Matthew Norman,3.86,329
"Damn You, Autocorrect!: Awesomely Embarrassing Text Messages You Didn't Mean to Send",Jillian Madison,4.01,279
It Looked Different on the Model: Epic Tales of Impending Shame and Infamy,Laurie Notaro,3.77,240
"God, No! Signs You May Already Be an Atheist and Other Magical Tales",Penn Jillette,3.66,254
Thank You Notes,Jimmy Fallon,3.80,176
Seriously... I'm Kidding,Ellen DeGeneres,3.69,241
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.86,222
